Date				 HJD			 Magn in V	 Magn in B
30.11.2011 18:33:49	 2455896.27349	 			 14.809	 		
30.11.2011 18:34:31	 2455896.27397	 14.434	 			 		
30.11.2011 19:18:51	 2455896.30476	 			 14.877	 		
30.11.2011 19:19:22	 2455896.30512	 14.440	 			 		
30.11.2011 20:22:38	 2455896.34906	 			 14.861	 		
30.11.2011 20:23:10	 2455896.34943	 14.494	 			 		
30.11.2011 21:47:5	 2455896.4077	 			 14.941	 		
30.11.2011 21:47:56	 2455896.40829	 14.540	 			 		
1.12.2011 18:47:14	 2455897.28281	 			 14.882	 		
1.12.2011 18:47:45	 2455897.28317	 14.428	 			 		
1.12.2011 19:44:43	 2455897.32273	 			 14.950	 		
1.12.2011 19:45:14	 2455897.32309	 14.534	 			 		
1.12.2011 20:29:48	 2455897.35403	 			 14.969	 		
1.12.2011 20:30:19	 2455897.35439	 14.586	 			 		
1.12.2011 21:14:32	 2455897.3851	 			 14.941	 		
1.12.2011 21:15:4	 2455897.38547	 14.536	 			 		
2.12.2011 18:19:9	 2455898.26331	 			 14.900	 		
2.12.2011 18:19:41	 2455898.26367	 14.529	 			 		
2.12.2011 19:21:58	 2455898.30693	 			 15.013	 		
2.12.2011 19:22:30	 2455898.3073	 14.586	 			 		
2.12.2011 19:58:38	 2455898.33239	 			 14.921	 		
2.12.2011 19:59:9	 2455898.33275	 14.527	 			 		
2.12.2011 23:8:9	 2455898.464	 			 14.132	 		
2.12.2011 23:8:50	 2455898.46447	 13.895	 			 		
3.12.2011 18:17:20	 2455899.26204	 			 14.976	 		
3.12.2011 18:18:1	 2455899.26252	 14.587	 			 		
3.12.2011 18:48:48	 2455899.2839	 			 14.813	 		
3.12.2011 18:49:30	 2455899.28438	 14.446	 			 		
3.12.2011 18:59:9	 2455899.29108	 			 14.698	 		
3.12.2011 18:59:40	 2455899.29144	 14.358	 			 		
3.12.2011 19:7:45	 2455899.29705	 			 14.518	 		
3.12.2011 19:8:16	 2455899.29741	 14.207	 			 		
3.12.2011 19:17:36	 2455899.30389	 			 14.262	 		
3.12.2011 19:18:7	 2455899.30425	 13.975	 			 		
3.12.2011 19:34:6	 2455899.31535	 			 13.743	 		
3.12.2011 19:34:37	 2455899.31571	 13.620	 			 		
3.12.2011 19:50:13	 2455899.32655	 			 13.498	 		
3.12.2011 19:50:45	 2455899.32692	 13.428	 			 		
3.12.2011 20:3:19	 2455899.33564	 			 13.523	 		
3.12.2011 20:3:59	 2455899.33611	 13.429	 			 		
3.12.2011 20:15:24	 2455899.34403	 			 13.563	 		
3.12.2011 20:16:5	 2455899.34451	 13.493	 			 		
3.12.2011 20:42:46	 2455899.36304	 			 13.819	 		
3.12.2011 20:43:28	 2455899.36353	 13.655	 			 		
3.12.2011 21:16:27	 2455899.38643	 			 13.978	 		
3.12.2011 21:17:9	 2455899.38691	 13.818	 			 		
3.12.2011 23:40:30	 2455899.48646	 			 14.585	 		
3.12.2011 23:41:11	 2455899.48694	 14.236	 			 		
4.12.2011 18:24:26	 2455900.26697	 			 13.473	 		
4.12.2011 18:24:57	 2455900.26733	 13.402	 			 		
4.12.2011 18:34:29	 2455900.27395	 			 13.494	 		
4.12.2011 18:35:0	 2455900.27431	 13.419	 			 		
4.12.2011 19:2:50	 2455900.29364	 			 13.673	 		
4.12.2011 19:3:41	 2455900.29423	 13.570	 			 		
4.12.2011 19:12:28	 2455900.30033	 			 13.737	 		
4.12.2011 19:13:9	 2455900.3008	 13.620	 			 		
4.12.2011 19:21:47	 2455900.3068	 			 13.805	 		
4.12.2011 19:22:28	 2455900.30727	 13.668	 			 		
4.12.2011 20:15:16	 2455900.34394	 			 14.102	 		
4.12.2011 20:15:48	 2455900.34431	 13.904	 			 		
4.12.2011 20:47:23	 2455900.36625	 			 14.258	 		
4.12.2011 20:47:55	 2455900.36661	 14.033	 			 		
4.12.2011 22:9:26	 2455900.42322	 			 14.605	 		
4.12.2011 22:10:17	 2455900.42381	 14.263	 			 		
5.12.2011 18:19:59	 2455901.26388	 			 13.924	 		
5.12.2011 18:20:30	 2455901.26424	 13.806	 			 		
5.12.2011 18:39:22	 2455901.27734	 			 14.005	 		
5.12.2011 18:39:53	 2455901.2777	 13.861	 			 		
5.12.2011 19:4:50	 2455901.29503	 			 14.154	 		
5.12.2011 19:5:20	 2455901.29538	 13.949	 			 		
5.12.2011 19:51:3	 2455901.32712	 			 14.327	 		
5.12.2011 19:51:34	 2455901.32748	 14.096	 			 		
5.12.2011 20:5:13	 2455901.33696	 			 14.414	 		
5.12.2011 20:5:44	 2455901.33732	 14.148	 			 		
5.12.2011 20:16:41	 2455901.34492	 			 14.483	 		
5.12.2011 20:17:12	 2455901.34528	 14.183	 			 		
5.12.2011 20:33:26	 2455901.35656	 			 14.529	 		
5.12.2011 20:33:57	 2455901.35692	 14.233	 			 		
5.12.2011 20:54:34	 2455901.37123	 			 14.609	 		
5.12.2011 20:55:5	 2455901.37159	 14.268	 			 		
5.12.2011 21:5:21	 2455901.37872	 			 14.628	 		
5.12.2011 21:5:51	 2455901.37907	 14.290	 			 		
5.12.2011 21:58:33	 2455901.41566	 			 14.809	 		
5.12.2011 21:59:4	 2455901.41603	 14.395	 			 		
6.12.2011 18:28:47	 2455902.26999	 			 14.397	 		
6.12.2011 18:29:18	 2455902.27035	 			 14.421	 		
6.12.2011 18:29:49	 2455902.27071	 14.133	 			 		
6.12.2011 18:47:17	 2455902.28284	 			 14.509	 		
6.12.2011 18:47:38	 2455902.28308	 14.186	 			 		
6.12.2011 19:35:36	 2455902.31639	 			 14.624	 		
6.12.2011 19:35:57	 2455902.31664	 14.306	 			 		
6.12.2011 19:36:51	 2455902.31726	 			 14.653	 		
6.12.2011 19:37:5	 2455902.31742	 14.277	 			 		
6.12.2011 20:5:25	 2455902.3371	 			 14.748	 		
6.12.2011 20:5:46	 2455902.33734	 14.373	 			 		
6.12.2011 20:36:53	 2455902.35895	 			 14.853	 		
6.12.2011 20:37:14	 2455902.35919	 14.441	 			 		
7.12.2011 18:28:54	 2455903.27008	 			 14.708	 		
7.12.2011 18:29:15	 2455903.27032	 14.339	 			 		
7.12.2011 19:10:12	 2455903.29875	 			 14.829	 		
7.12.2011 19:10:33	 2455903.299	 14.452	 			 		
7.12.2011 19:42:24	 2455903.32112	 			 14.930	 		
7.12.2011 19:42:46	 2455903.32137	 14.472	 			 		
7.12.2011 20:4:15	 2455903.33629	 			 14.942	 		
7.12.2011 20:4:36	 2455903.33653	 14.534	 			 		
7.12.2011 20:26:1	 2455903.35141	 			 14.955	 		
7.12.2011 20:26:23	 2455903.35166	 14.540	 			 		
7.12.2011 20:51:50	 2455903.36933	 			 14.979	 		
7.12.2011 20:52:10	 2455903.36957	 14.573	 			 		
8.12.2011 18:25:13	 2455904.26752	 			 14.930	 		
8.12.2011 18:25:44	 2455904.26788	 14.518	 			 		
8.12.2011 19:32:28	 2455904.31422	 			 14.968	 		
8.12.2011 19:32:59	 2455904.31458	 14.568	 			 		
8.12.2011 20:12:46	 2455904.34221	 			 14.979	 		
8.12.2011 20:13:18	 2455904.34257	 14.561	 			 		
8.12.2011 20:42:18	 2455904.36271	 			 14.935	 		
8.12.2011 20:42:50	 2455904.36308	 14.559	 			 		
9.12.2011 18:24:51	 2455905.26726	 			 15.007	 		
9.12.2011 18:25:22	 2455905.26762	 14.581	 			 		
9.12.2011 18:49:17	 2455905.28423	 			 14.982	 		
9.12.2011 18:49:48	 2455905.28459	 14.570	 			 		
9.12.2011 19:36:14	 2455905.31683	 			 14.952	 		
9.12.2011 19:36:52	 2455905.31728	 14.548	 			 		
9.12.2011 20:4:27	 2455905.33643	 			 15.003	 		
9.12.2011 20:4:53	 2455905.33673	 14.622	 			 		
9.12.2011 20:19:30	 2455905.34688	 			 15.053	 		
9.12.2011 20:20:1	 2455905.34724	 14.654	 			 		
9.12.2011 20:40:37	 2455905.36154	 			 15.114	 		
9.12.2011 20:41:8	 2455905.3619	 14.701	 			 		
10.12.2011 18:24:6	 2455906.26674	 			 14.927	 		
10.12.2011 18:24:37	 2455906.2671	 14.578	 			 		
10.12.2011 18:47:41	 2455906.28312	 			 15.058	 		
10.12.2011 18:48:12	 2455906.28348	 14.603	 			 		
10.12.2011 18:54:8	 2455906.2876	 			 15.056	 		
10.12.2011 18:54:39	 2455906.28796	 14.651	 			 		
10.12.2011 19:21:36	 2455906.30667	 14.719	 			 		
10.12.2011 19:39:24	 2455906.31903	 			 15.105	 		
10.12.2011 19:40:3	 2455906.31948	 14.648	 			 		
10.12.2011 19:50:29	 2455906.32673	 			 14.954	 		
10.12.2011 19:51:0	 2455906.32709	 14.530	 			 		
10.12.2011 19:59:15	 2455906.33282	 			 14.708	 		
10.12.2011 19:59:46	 2455906.33318	 14.357	 			 		
10.12.2011 20:13:26	 2455906.34267	 			 14.204	 		
10.12.2011 20:13:56	 2455906.34302	 13.985	 			 		
10.12.2011 20:19:38	 2455906.34697	 			 13.959	 		
10.12.2011 20:20:9	 2455906.34733	 13.765	 			 		
10.12.2011 20:28:47	 2455906.35333	 			 13.565	 		
10.12.2011 20:29:19	 2455906.3537	 13.456	 			 		
